Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.88,0.166682819,0.166641814,0.167111916,0.168180402,0.169934189,0.172139187,0.174412398,0.176406614,0.177888805,0.178736369,0.178904505,0.178394599,0.177232279,0.175454426,0.173102175,0.170217344,0.166840683,0.163011028,0.158764901,0.154136346
0.92,0.185875239,0.186101464,0.186439952,0.187240257,0.188641113,0.190488291,0.192460532,0.194238391,0.195590289,0.196381842,0.196552693,0.19608959,0.195006026,0.193329353,0.191093379,0.18833433,0.185088703,0.181392114,0.177278679,0.172780668
0.96,0.206922696,0.207382591,0.207605435,0.208173991,0.209252631,0.210755569,0.212421009,0.213960055,0.215147215,0.215840723,0.215968023,0.21550353,0.214450119,0.212826601,0.210660106,0.207981688,0.204823846,0.20121911,0.197199219,0.192794638
1,0.226169414,0.226628723,0.226759084,0.227169291,0.228014096,0.229249379,0.230662951,0.23199819,0.233041852,0.233651088,0.233745916,0.233291465,0.232281642,0.230727416,0.228649347,0.226073087,0.22302674,0.219539287,0.215639633,0.211356002
1.04,0.245943494,0.246315726,0.246369449,0.246657443,0.247315058,0.248329634,0.249530722,0.25069038,0.251607431,0.252139537,0.252201447,0.251751117,0.250775343,0.249278802,0.247276733,0.244790368,0.241844152,0.238464044,0.234676456,0.230507567
1.08,0.266921766,0.267080086,0.267079522,0.267275961,0.267780048,0.268600862,0.269605523,0.27059557,0.271384645,0.271833648,0.271854033,0.271397773,0.270445191,0.268994988,0.267057254,0.264648921,0.261790886,0.258506201,0.254818902,0.250753243
1.12,0.287100714,0.286826111,0.28679703,0.28693119,0.287321678,0.287992687,0.288840703,0.289691991,0.290373879,0.290751584,0.290735242,0.290272927,0.2893403,0.287931534,0.286052648,0.283717031,0.280942538,0.277749618,0.274160092,0.270196335
1.16,0.307578843,0.307116269,0.307083948,0.307174375,0.307467075,0.307995008,0.30868075,0.309376873,0.309928285,0.310208491,0.31012929,0.309636623,0.308702259,0.30731591,0.305479203,0.303201489,0.300497051,0.297383258,0.293879321,0.290005436
1.2,0.325885642,0.325182311,0.325162602,0.325230697,0.325457217,0.325878235,0.326435391,0.327003474,0.327444119,0.327640262,0.3275073,0.326991006,0.326060875,0.324703339,0.322916395,0.320705781,0.318082382,0.315060486,0.311656584,0.307888512
1.24,0.346512258,0.345141695,0.345134025,0.345184429,0.34535797,0.345693444,0.346147426,0.346612179,0.346962346,0.347088003,0.346907112,0.346365201,0.345430066,0.344085825,0.342328002,0.340159926,0.337590241,0.334631192,0.331297436,0.327605195
1.28,0.368981298,0.367077382,0.367078776,0.367114365,0.367240712,0.367497942,0.367855588,0.36822157,0.368482366,0.368534691,0.368299092,0.367721202,0.366767646,0.36542083,0.363674412,0.361529872,0.358994098,0.356077699,0.352793829,0.349157335
1.32,0.390576686,0.388721663,0.388726757,0.388752771,0.388843522,0.389035683,0.389307612,0.389580562,0.389752164,0.389726102,0.38942632,0.388799499,0.38781199,0.386445264,0.384691748,0.382551586,0.380030319,0.377137239,0.373884245,0.370285006
1.36,0.408814732,0.407736398,0.407743415,0.407764161,0.407834021,0.407984428,0.408197901,0.408405818,0.408516162,0.408440275,0.408106607,0.407463806,0.406478444,0.405131113,0.403412726,0.401321589,0.398861265,0.396039078,0.392865036,0.389351058
1.4,0.423534323,0.423556846,0.423564512,0.423581025,0.423637305,0.423762388,0.423942361,0.424115785,0.424197993,0.424105946,0.423771591,0.423145271,0.42219392,0.42089758,0.419246008,0.41723597,0.41486927,0.412151373,0.409090425,0.405696548
1.44,0.442611398,0.443858918,0.443865076,0.443876316,0.443916958,0.444010713,0.444146085,0.444268567,0.444300571,0.444164261,0.443794735,0.443143927,0.442179344,0.440880981,0.439238158,0.437246956,0.434908339,0.432226823,0.429209556,0.42586564
