Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,-5.656393946981056e-06,-9.383851291638757e-06,-1.2745937182901309e-05,-1.589927138327838e-05,-1.900342528628163e-05,-2.2204865239304316e-05,-2.5625137354826517e-05,-2.9355976485665638e-05,-3.3460964407041464e-05,-3.7981472358290084e-05,-4.294412712979244e-05,-4.836755770703173e-05,-5.426719191569518e-05,-6.065789477838008e-05,-6.755492241403695e-05,-7.497389024359515e-05,-8.293034251102432e-05,-9.143928238760011e-05,-0.0001005148300857436,-0.00011017005520458221
0.04,1.2208604005103192e-05,6.320920063201451e-06,1.6785698413397797e-06,-1.8936098323439524e-06,-4.630672745393858e-06,-6.787860848917755e-06,-8.602736055864059e-06,-1.0270249498569347e-05,-1.193356321049233e-05,-1.3687503387809202e-05,-1.5589223976931727e-05,-1.7670910604823193e-05,-1.9950855332385675e-05,-2.244112837693851e-05,-2.515177393479845e-05,-2.809250566513321e-05,-3.127310072523162e-05,-3.470333877151301e-05,-3.839287208003411e-05,-4.2351136845950954e-05
0.08,4.060610446150038e-05,2.8882703866609907e-05,1.9220530514807122e-05,1.1654479748697493e-05,6.041802645969797e-06,2.089645024429992e-06,-5.785267218689456e-07,-2.3487842289469577e-06,-3.559655921753186e-06,-4.472098422751673e-06,-5.264467422674816e-06,-6.044554999381728e-06,-6.8695691649748144e-06,-7.766345824723716e-06,-8.7468874343709e-06,-9.81763847390544e-06,-1.0983622811679962e-05,-1.2249703290975767e-05,-1.3620787830329898e-05,-1.5101817636917766e-05
0.12,9.747291776853648e-05,7.63951658495284e-05,5.7389457596838414e-05,4.098566367363235e-05,2.7561534518501766e-05,1.722258371637786e-05,9.769936762844155e-06,4.761711530355332e-06,1.6290664792990827e-06,-2.0397726481911623e-07,-1.2323460564375641e-06,-1.8259041246578588e-06,-2.225309358130475e-06,-2.5648869501992883e-06,-2.9072061246865004e-06,-3.275884803918639e-06,-3.6784245757690476e-06,-4.117720364365291e-06,-4.595921129733382e-06,-5.115163780253599e-06
0.16,0.00020199841083233302,0.000170311984602729,0.00013954931918867675,0.00011035546958672047,8.359190113647789e-05,6.0162447383399964e-05,4.077785219897187e-05,2.575487639576167e-05,1.4936667577492623e-05,7.757829759286654e-06,3.4096088583359893e-06,1.0310260472921915e-06,-1.3623241108600752e-07,-6.606313470450707e-07,-9.036375087792361e-07,-1.0549566611524893e-06,-1.1923798033692669e-06,-1.3386747115440766e-06,-1.498272598362472e-06,-1.672241052317674e-06
0.2,0.00037211262681001043,0.000330363402068919,0.000288587889709984,0.0002468902172494466,0.00020568274723189463,0.00016574917348038053,0.00012821580017341198,9.4393116733559e-05,6.550154596418016e-05,4.236328935719188e-05,2.5180095940162213e-05,1.3489186243415768e-05,6.3093233727419386e-06,2.408132428685711e-06,5.849855933745947e-07,-1.215435063329577e-07,-3.4643776417431383e-07,-4.231210209935674e-07,-4.766040171722171e-07,-5.330619483257146e-07
0.24,0.0006304460495678272,0.0005782803559434028,0.0005259591927194327,0.00047322195405802986,0.0004199242713108803,0.00036612963814822754,0.0003122076206046449,0.00025891462254199816,0.0002074211734848658,0.0001592446008834173,0.00011605819330620774,7.938586500067787e-05,5.0249747274014294e-05,2.8889639499584835e-05,1.4677461205765018e-05,6.284165128517356e-06,2.042304430104107e-06,3.429432409762591e-07,-1.065626332335964e-07,-1.6647840357466892e-07
0.28,0.001009448886096413,0.0009459052725035454,0.0008824599456499234,0.0008187566113372134,0.0007544283788736243,0.0006891447516604839,0.0006226778005986495,0.0005549861212077736,0.0004863099968823619,0.0004172638114445866,0.00034890264490116454,0.0002827308890339288,0.00022061574682488212,0.00016457505835299594,0.00011643642908271545,7.741811575939977e-05,4.7753355721316534e-05,2.6554360294021286e-05,1.2193705264675946e-05,3.3948155153982242e-06
0.32,0.0015514041183645473,0.0014757306486922193,0.001400438588132864,0.001325255218403667,0.001249860562627705,0.0011738985839111888,0.001096996437880205,0.00101879335661401,0.0009389805948627858,0.0008573535370214472,0.0007738764400710815,0.0006887591408091076,0.0006025429606116541,0.0005161894994360766,0.00043116118996543596,0.00034947939732135673,0.000273754204713305,0.00020721189376228332,0.0001537330888225054,0.00011730293436969809
0.36,0.002306929809447512,0.002220279743741481,0.0021340930613779592,0.0020481767237266082,0.0019622951790309227,0.0018761735654053318,0.0017895050606146605,0.0017019633232354498,0.0016132210911969326,0.0015229761767663681,0.0014309863467681975,0.0013371149059097775,0.0012413891177863708,0.001144073537881077,0.0010457588143730986,0.0009474605279810296,0.0008507034766403326,0.0007575072903921378,0.000670010140172316,0.0005891255418211495
