Vl (V),Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.0,-3.311072998712496e-12,-1.0045279312644873e-11,-2.0791536448227174e-11,-3.905407933016458e-11,-6.553460631425385e-11,-9.693267023453689e-11,-1.296680505772882e-10,-1.6516087530902392e-10,-2.1107912782511843e-10,-2.802955601310931e-10,-3.9051328194961953e-10,-5.642874561673731e-10,-8.278094009536652e-10,-1.2070483922715566e-09,-1.7211654082017002e-09,-2.3758036679058475e-09,-3.161526388819082e-09,-4.0616982955531995e-09,-5.068056024922705e-09,-6.196291530808743e-09
0.04,7.355932999158104e-11,2.9119999660700554e-11,9.731162602550121e-12,1.9239647181417144e-12,-1.3414152569425402e-12,-3.193875702205021e-12,-4.71312186341678e-12,-6.204011604516056e-12,-7.911980371529625e-12,-1.0250799986934564e-11,-1.3828009299747767e-11,-1.9450957451069574e-11,-2.8121707767059263e-11,-4.09695873598411e-11,-5.908066516421565e-11,-8.324053525739416e-11,-1.1370743957294422e-10,-1.502113794678754e-10,-1.923106353025788e-10,-2.4001218818985525e-10
0.08,1.1009524994352203e-09,6.250848650670942e-10,2.9837445167055447e-10,1.1936461411244769e-10,3.958624537831661e-11,1.0570652195350098e-11,2.111093397196911e-12,1.585218727724705e-13,-2.303760446684414e-13,-3.492127010737716e-13,-4.59924016957169e-13,-6.216473340363039e-13,-8.7036645398956e-13,-1.2460317753590122e-12,-1.7930069642238916e-12,-2.5543646555872503e-12,-3.5632609351394738e-12,-4.83534316861935e-12,-6.368351436802797e-12,-8.15338907380922e-12
0.12,4.4143745737039616e-09,3.700299085250953e-09,3.00967286015567e-09,2.1919466113991364e-09,1.2995910917388413e-09,5.818629591648058e-10,1.927288169259538e-10,4.8054497937353e-11,9.173131206462578e-12,1.3325001078595203e-12,1.3224380218349436e-13,-8.414410929907717e-15,-2.630399590285408e-14,-3.734677653509044e-14,-5.2878230721940005e-14,-7.511788338690093e-14,-1.0573609660742212e-13,-1.460832453549169e-13,-1.9695623427219479e-13,-2.5856214053626734e-13
0.16,2.1058051600401244e-08,1.390461099249131e-08,9.667191041468931e-09,7.317355017763956e-09,6.026224532677357e-09,5.160392107452138e-09,4.191315017086663e-09,2.7561974810888704e-09,1.2102996911404566e-09,3.3618792782665804e-10,6.479879516973052e-11,9.180221213442731e-12,9.319367613788069e-13,6.11841377026558e-14,8.018586381899344e-16,-2.1333602943188628e-15,-3.0471148135853368e-15,-4.239498849726805e-15,-5.802739959005047e-15,-7.773634220668033e-15
0.2,1.7385843918262004e-07,1.324137482645772e-07,9.365001584863313e-08,6.136478063369289e-08,3.7825616426113285e-08,2.282485798109383e-08,1.4417101562786377e-08,1.0227284116383585e-08,8.283284645008017e-09,7.165712375573955e-09,5.7201064389149155e-09,3.221723193295045e-09,9.802734412113779e-10,1.682438726075049e-10,1.8092011465940002e-11,1.128657682044992e-12,3.179264602279427e-14,1.3275594178970215e-16,-1.654448789823373e-16,-2.246959093061271e-16
0.24,5.620353361013267e-07,4.89050448167934e-07,4.332741327112088e-07,3.8542042000304636e-07,3.37186311612579e-07,2.8224420836068615e-07,2.1863666471488906e-07,1.515737763166692e-07,9.22267829216584e-08,5.0059129919929115e-08,2.624183169639159e-08,1.546454673140009e-08,1.1493187942475039e-08,1.0084481837115317e-08,8.802991939081998e-09,5.7742190739600305e-09,1.6930067412145126e-09,1.7050153574151724e-10,5.337626277740773e-12,2.1446099144369915e-14
0.28,2.9892956973524626e-06,2.306233938374899e-06,1.764596474636913e-06,1.3548698015391208e-06,1.060061607084924e-06,8.58655876113364e-07,7.27649019066094e-07,6.449571114260042e-07,5.907494455543518e-07,5.474960638916118e-07,4.98810631018052e-07,4.283378751135516e-07,3.240427478668988e-07,1.9632115281048885e-07,8.888798433965302e-08,3.3633292735751474e-08,1.6782536806616055e-08,1.3759726271397328e-08,1.3195189778785584e-08,1.2418955603260552e-08
0.32,1.7175328622212695e-05,1.5320085297638807e-05,1.3423260893916908e-05,1.1491132594616644e-05,9.556970769400361e-06,7.680635701154996e-06,5.940378334929778e-06,4.416522897592243e-06,3.1711524633531342e-06,2.231541250081656e-06,1.5844539861649728e-06,1.1831812164175853e-06,9.630562595317853e-07,8.583979680289852e-07,8.150454665912521e-07,7.955548671503085e-07,7.76262784008738e-07,7.346635031587502e-07,6.159488052327243e-07,3.015491021392e-07
0.36,5.047136249932665e-05,4.6159371797085106e-05,4.241516714450043e-05,3.91856252591179e-05,3.6402154852081585e-05,3.398033979790087e-05,3.1819998459025936e-05,2.9805813662377523e-05,2.7808967016274485e-05,2.569090062972872e-05,2.3311801737397274e-05,2.0549005809103052e-05,1.7333500940920982e-05,1.3711078742376668e-05,9.914881084302244e-06,6.385876211186413e-06,3.6392656963256165e-06,1.9761413796929143e-06,1.2744903989913137e-06,1.1080134188525744e-06
