Gap,Vl,I_0,delta_V,S(V)
$\Delta = 0$ (Metallic),1.7,0.104805672,0.0,0.0
$\Delta = 0$ (Metallic),1.72,0.106642225,0.0,0.0
$\Delta = 0$ (Metallic),1.74,0.108459445,0.0,0.0
$\Delta = 0$ (Metallic),1.76,0.110255776,0.0,0.0
$\Delta = 0$ (Metallic),1.78,0.112099693,0.0,0.0
$\Delta = 0$ (Metallic),1.8,0.113889529,0.0,0.0
$\Delta = 0$ (Metallic),1.82,0.115721333,0.0,0.0
$\Delta = 0$ (Metallic),1.84,0.117539841,0.0,0.0
$\Delta = 0$ (Metallic),1.86,0.119339954,0.0,0.0
$\Delta = 0$ (Metallic),1.88,0.1211788,0.0,0.0
$\Delta = 0$ (Metallic),1.9,0.122974892,0.0,0.0
$\Delta = 0$ (Metallic),1.92,0.124803206,0.0,0.0
$\Delta = 0$ (Metallic),1.94,0.126622425,0.0,0.0
$\Delta = 0$ (Metallic),1.96,0.128425733,0.0,0.0
$\Delta = 0$ (Metallic),1.98,0.130260495,0.0,0.0
$\Delta = 0$ (Metallic),2.0,0.132061424,0.0,0.0
$\Delta = 0.2E_c$,0.0,-1.647023085813947e-109,0.0,0.0
$\Delta = 0.2E_c$,0.04,4.781723981205239e-94,0.0,0.0
$\Delta = 0.2E_c$,0.08,4.370738644053364e-87,0.0,0.0
$\Delta = 0.2E_c$,0.12,5.36165496540989e-82,0.0,0.0
$\Delta = 0.2E_c$,0.16,4.0601501976220543e-66,0.0,0.0
$\Delta = 0.2E_c$,0.2,1.6095936143994426e-62,0.0,0.0
$\Delta = 0.2E_c$,0.24,3.921047928021675e-54,0.0,0.0
$\Delta = 0.2E_c$,0.28,4.689395141254817e-40,0.0,0.0
$\Delta = 0.2E_c$,0.32,1.7167014116272815e-38,0.0,0.0
$\Delta = 0.2E_c$,0.36,5.4803113923472026e-27,-0.11999999950821238,-5.999999975410619
$\Delta = 0.2E_c$,0.4,7.575660841473137e-17,-0.15999999905687642,-7.9999999528438215
$\Delta = 0.2E_c$,0.44,1.802451901957534e-15,-0.19999998876972438,-9.999999438486219
$\Delta = 0.2E_c$,0.48,9.804202441455392e-07,-0.12419990352606697,-6.209995176303348
$\Delta = 0.2E_c$,0.52,0.0007811537587557,-0.05909497791486862,-2.954748895743431
$\Delta = 0.2E_c$,0.56,0.0074068386634403,-0.04449997582078968,-2.224998791039484
$\Delta = 0.2E_c$,0.6,0.0261387774271364,-0.01305476214171819,-0.6527381070859095
$\Delta = 0.2E_c$,0.64,0.0466027079038516,-0.005997292295721879,-0.29986461478609394
$\Delta = 0.2E_c$,0.68,0.0664401551262788,-0.003219490307897366,-0.1609745153948683
$\Delta = 0.2E_c$,0.72,0.0861766535377918,-0.0017056280867350226,-0.08528140433675113
$\Delta = 0.2E_c$,0.76,0.1061081051402519,-0.0009990319677587456,-0.04995159838793728
$\Delta = 0.2E_c$,0.8,0.1263101276033407,-0.00042197638013263816,-0.021098819006631908
$\Delta = 0.2E_c$,0.84,0.1462206610774749,7.284246830341345e-05,0.0036421234151706727
$\Delta = 0.2E_c$,0.88,0.1666828193897222,8.42870773182236e-05,0.00421435386591118
$\Delta = 0.2E_c$,0.92,0.1858752386097781,-0.0004650147497861079,-0.023250737489305395
$\Delta = 0.2E_c$,0.96,0.2069226963553007,-0.0008644177488915661,-0.043220887444578304
$\Delta = 0.2E_c$,1.0,0.2261694144705427,-0.0009545996850922611,-0.047729984254613056
$\Delta = 0.2E_c$,1.04,0.2459434944040465,-0.0007562996360481744,-0.03781498180240872
$\Delta = 0.2E_c$,1.08,0.2669217663062894,-0.00030498416522029004,-0.015249208261014502
$\Delta = 0.2E_c$,1.12,0.2871007135883078,0.0005413510540663857,0.027067552703319286
$\Delta = 0.2E_c$,1.16,0.307578843461467,0.0010241844474887518,0.05120922237443759
$\Delta = 0.2E_c$,1.2,0.3258856415306642,0.0014095236954234647,0.07047618477117323
$\Delta = 0.2E_c$,1.24,0.3465122582222152,0.002499238739623433,0.12496193698117164
$\Delta = 0.2E_c$,1.28,0.3689812976254285,0.003518555782079158,0.1759277891039579
$\Delta = 0.2E_c$,1.32,0.3905766860552946,0.003902284962473468,0.1951142481236734
$\Delta = 0.2E_c$,1.36,0.4088147317927383,0.00272643106634729,0.1363215533173645
$\Delta = 0.2E_c$,1.4,0.4235343229941946,-5.6945918288420216e-05,-0.002847295914421011
$\Delta = 0.2E_c$,1.44,0.4426113980443267,-0.0024579156657102974,-0.12289578328551487
$\Delta = 0.2E_c$,1.48,0.4646564386179323,-0.004186079820207134,-0.20930399101035668
$\Delta = 0.2E_c$,1.52,0.4861348191596077,-0.005404339544444525,-0.27021697722222626
$\Delta = 0.2E_c$,1.56,0.5046226305602812,-0.0062601098628234375,-0.3130054931411719
$\Delta = 0.2E_c$,1.6,0.5218001423247167,-0.005171057163644299,-0.25855285818221496
$\Delta = 0.2E_c$,1.64,0.5437621882136161,-0.0017071987482588646,-0.08535993741294323
$\Delta = 0.2E_c$,1.68,0.567545471937604,0.0005884489799397041,0.029422448996985207
$\Delta = 0.2E_c$,1.72,0.5886221817874159,0.002031667033756346,0.10158335168781729
$\Delta = 0.2E_c$,1.76,0.6075265546169605,0.0019504706160655694,0.09752353080327847
$\Delta = 0.2E_c$,1.8,0.6258031715523397,0.00162991639562593,0.0814958197812965
$\Delta = 0.2E_c$,1.84,0.646450902717752,0.0018994910119571884,0.09497455059785942
$\Delta = 0.2E_c$,1.88,0.6683095587231354,0.002050552793184446,0.10252763965922229
$\Delta = 0.2E_c$,1.92,0.6878992010326754,0.001714937621619006,0.0857468810809503
$\Delta = 0.2E_c$,1.96,0.7065920489185471,-4.1702325141779184e-05,-0.002085116257088959
$\Delta = 0.2E_c$,2.0,0.7238823582502619,-0.0024555066357245803,-0.12277533178622901
$\Delta = 2E_c$,0.0,0.0,0.0,0.0
$\Delta = 2E_c$,0.02,3.62e-102,0.0,0.0
$\Delta = 2E_c$,0.04,3.22e-94,0.0,0.0
$\Delta = 2E_c$,0.06,6.0599999999999994e-89,0.0,0.0
