Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
0.42,0.041142991,0.039682993,0.038221032,0.036756076,0.035286609,0.033810366,0.032323908,0.030821896,0.029295822,0.027731706,0.026105783,0.024376097,0.022466015,0.020234031,0.017438923,0.013813495,0.009481482,0.005089168,0.001314352,6.60E-04,6.09E-06,0.000164193,0.000562803,0.001049927,0.001483656,0.001786172,0.001908516,0.001821092,0.001520723,0.001025759,0.000363147,-0.000442127,-0.001372801,-0.002421656,-0.003591736,-0.004895159,-0.006350993,-0.007982625,-0.009815054
0.44,0.042521397,0.041067334,0.039611478,0.038152722,0.036689421,0.035219104,0.033737997,0.032240211,0.030716336,0.029150897,0.02751759,0.025770132,0.023824621,0.02152866,0.018631926,0.014883857,0.010446947,0.005919201,0.001818304,9.57E-04,9.59E-05,0.000340175,0.000745525,0.001239511,0.001694598,0.00203491,0.002213964,0.002201507,0.001989334,0.00158999,0.001026594,0.000323239,-0.000500517,-0.001432091,-0.002466701,-0.003607305,-0.004863892,-0.006252196,-0.007792006
0.46,0.043917995,0.04247035,0.041021082,0.039568995,0.038112307,0.036648318,0.035172889,0.033679542,0.03215791,0.030590942,0.028949705,0.027183517,0.025201324,0.022840745,0.019845609,0.015987224,0.011464647,0.006829163,0.002464573,1.30E-03,0.000145402,0.000703694,0.00139845,0.002080424,0.00265334,0.003064478,0.003285909,0.003301967,0.003112428,0.002733091,0.002188981,0.001506495,0.000708427,-0.000188283,-0.001173286,-0.002242909,-0.003399888,-0.004652794,-0.006015148
0.48,0.045332152,0.043891346,0.042449073,0.041004044,0.039554318,0.03809695,0.036627402,0.035138568,0.033619067,0.0320502,0.03040033,0.028614341,0.026594223,0.024168682,0.021079,0.017122668,0.012532442,0.007816428,0.00325116,1.71E-03,0.000174315,0.000778284,0.00154435,0.002314064,0.002984238,0.003498234,0.003828032,0.003957593,0.003882968,0.003614415,0.003172373,0.002581037,0.001863552,0.001039458,0.000123578,-0.00087441,-0.001950113,-0.003104366,-0.004342968
0.5,0.046763239,0.045329628,0.043894688,0.042457023,0.04101452,0.03956396,0.038100381,0.036616004,0.035098383,0.033527106,0.031867772,0.030060833,0.028001605,0.025511069,0.022331225,0.018289085,0.013647799,0.008876985,0.004169769,2.57E-03,0.000965457,0.001632593,0.002367984,0.003100859,0.003745084,0.004243454,0.004567207,0.004702469,0.004646658,0.004408809,0.004006597,0.003461315,0.002793829,0.002022392,0.00116175,0.000222854,-0.000787245,-0.001865457,-0.003012671
0.52,0.048210628,0.046784507,0.04535717,0.043927099,0.04249199,0.04104833,0.0395907,0.038110609,0.036594493,0.035020175,0.033350445,0.031521367,0.029421929,0.026866685,0.023601479,0.019485226,0.014807894,0.010005738,0.00521608,3.30E-03,0.001383549,0.002298586,0.003196318,0.004047153,0.004788259,0.005370173,0.005766211,0.005963679,0.005960636,0.005766267,0.005398618,0.004880028,0.004233023,0.003477867,0.002631524,0.001707401,0.000715387,-0.00033807,-0.001449914
0.54,0.049673694,0.048255301,0.046835772,0.045413451,0.043985827,0.042549069,0.041097269,0.039621187,0.038106096,0.036528004,0.034846873,0.032994453,0.030853825,0.02823447,0.024889007,0.020709728,0.016009716,0.011196854,0.006381081,4.05E-03,0.001722817,0.002643832,0.00356051,0.004439411,0.005217503,0.005845038,0.006296027,0.006558671,0.006630006,0.006515918,0.006230261,0.005791687,0.005220176,0.004534652,0.003751796,0.002885613,0.001947363,0.000945602,-0.000113802
0.56,0.051151821,0.049741338,0.048329757,0.046915274,0.04549515,0.044065212,0.042619034,0.041146591,0.039631952,0.038049275,0.036355687,0.03447874,0.032296077,0.029613506,0.026193094,0.02196115,0.017250171,0.012444123,0.00764627,5.73E-03,0.003807122,0.004457703,0.005216858,0.005993294,0.006704666,0.007287261,0.007703993,0.007937663,0.0079846,0.00785168,0.00755349,0.00710867,0.006536633,0.005855475,0.005081026,0.004226614,0.00330315,0.002319296,0.001281594
0.58,0.0526444,0.051241954,0.049838404,0.048431781,0.047019101,0.045595825,0.044154982,0.042685726,0.04117089,0.039582755,0.037875628,0.035973004,0.033747612,0.031002998,0.027513052,0.023238012,0.018526167,0.013741303,0.008992661,6.84E-03,0.004692393,0.005289722,0.006046055,0.006840681,0.007584657,0.008211694,0.008682577,0.008977703,0.009090065,0.009022513,0.008785946,0.008396523,0.007872562,0.007232167,0.00649186,0.005666017,0.004766766,0.003804087,0.002785976
0.6,0.054150829,0.052756498,0.051361006,0.049962205,0.048556848,0.047140007,0.04570414,0.04423755,0.042721805,0.041127295,0.039405536,0.037476145,0.035207491,0.032402257,0.028848214,0.024538825,0.019834699,0.015082407,0.010404779,8.19E-03,0.005967779,0.006444756,0.007104462,0.007831115,0.008531947,0.009134982,0.009596034,0.009893003,0.010018084,0.009973294,0.009767844,0.009415563,0.008932355,0.008334229,0.007636105,0.006851266,0.005991203,0.00506567,0.0040828
