Vl (V),Grad_-19_I,Grad_-18_I,Grad_-17_I,Grad_-16_I,Grad_-15_I,Grad_-14_I,Grad_-13_I,Grad_-12_I,Grad_-11_I,Grad_-10_I,Grad_-9_I,Grad_-8_I,Grad_-7_I,Grad_-6_I,Grad_-5_I,Grad_-4_I,Grad_-3_I,Grad_-2_I,Grad_-1_I,Grad_0_I,Grad_1_I,Grad_2_I,Grad_3_I,Grad_4_I,Grad_5_I,Grad_6_I,Grad_7_I,Grad_8_I,Grad_9_I,Grad_10_I,Grad_11_I,Grad_12_I,Grad_13_I,Grad_14_I,Grad_15_I,Grad_16_I,Grad_17_I,Grad_18_I,Grad_19_I
1.1,0.094832596,0.093575653,0.092297616,0.090989147,0.089637638,0.088225932,0.086730491,0.08511883,0.083346086,0.081351163,0.079054644,0.076365359,0.073210187,0.069599113,0.065688447,0.061740281,0.057992217,0.054636971,0.051952484,5.12E-02,0.050376088,0.050376088,0.050376111,0.05037636,0.050376379,0.050371391,0.050349712,0.050294737,0.050189201,0.050018616,0.049772862,0.04944631,0.049037153,0.048546483,0.047977384,0.047334182,0.04662187,0.045845696,0.045010887
1.12,0.096533931,0.095278248,0.094000137,0.092689967,0.091334775,0.089916977,0.08841254,0.086788426,0.084999248,0.082983656,0.080662847,0.077948313,0.074773064,0.071155993,0.067259156,0.063341685,0.05963513,0.056330365,0.053704589,5.30E-02,0.052315498,0.052315498,0.05231551,0.052315607,0.052314928,0.052308206,0.052283445,0.052223934,0.052112451,0.051934665,0.051680715,0.051345305,0.050926991,0.050427203,0.04984931,0.049197844,0.048477926,0.047694866,0.046853899
1.14,0.098238302,0.096983544,0.095705009,0.094392775,0.093033531,0.091609285,0.090095522,0.088458681,0.0866529,0.084616656,0.082271886,0.079532895,0.076338863,0.07271725,0.068835206,0.064948624,0.061283253,0.058028207,0.055459706,5.48E-02,0.054073287,0.054073287,0.054073294,0.054073313,0.054072344,0.054065148,0.054040065,0.05398086,0.053870676,0.053695309,0.053444799,0.05311359,0.052699913,0.052204885,0.051631614,0.050984445,0.050268387,0.049488697,0.048650602
1.16,0.099945509,0.098691346,0.097412044,0.096097395,0.09473375,0.093302715,0.091779317,0.090129502,0.088306979,0.086250131,0.083881757,0.081119115,0.07790757,0.074282803,0.070416434,0.066560891,0.062936366,0.059730279,0.057217658,5.65E-02,0.055840507,0.055840507,0.05584051,0.055840472,0.055839248,0.055831493,0.055805611,0.055745563,0.055634705,0.055459011,0.055208631,0.054878071,0.054465569,0.053972206,0.053401018,0.052756257,0.052042827,0.051265886,0.05043057
1.18,0.101655357,0.100401471,0.099121069,0.097803667,0.096435285,0.094997142,0.093463822,0.091800808,0.089961429,0.087884054,0.085492461,0.082706984,0.079479173,0.075852573,0.072002686,0.068178292,0.06459426,0.061436379,0.058978272,5.84E-02,0.057747857,0.057747857,0.057747858,0.057747786,0.057746404,0.057738275,0.057711765,0.05765081,0.057538711,0.057361355,0.057108819,0.056775569,0.056359865,0.055862855,0.055287676,0.054638697,0.053920939,0.053139658,0.052300076
1.2,0.103367668,0.102113744,0.100831921,0.09951144,0.098138001,0.096692447,0.095148939,0.093472526,0.091616206,0.089518407,0.087104,0.084296514,0.081053659,0.07742648,0.073593814,0.06980064,0.066256738,0.063146315,0.060741413,6.01E-02,0.059432105,0.059432105,0.059432105,0.059432023,0.059430655,0.059422782,0.059397204,0.059338325,0.059229773,0.059057536,0.058811574,0.058486081,0.058078956,0.057590972,0.057024921,0.056384881,0.055675655,0.054902348,0.054070091
1.22,0.105082269,0.103828004,0.102544447,0.101220576,0.099841775,0.098388525,0.096834584,0.095144594,0.093271268,0.091153174,0.088716382,0.085887719,0.082631013,0.079004446,0.075189675,0.071427762,0.067923616,0.064859911,0.062506931,6.19E-02,0.061337542,0.061337542,0.061337541,0.061337443,0.06133599,0.061327882,0.06130182,0.061242081,0.061132156,0.060957928,0.060709325,0.060380596,0.059969767,0.05947777,0.058907561,0.058263362,0.057550085,0.056772916,0.055937029
1.24,0.106798999,0.105544096,0.104258506,0.102930944,0.101546492,0.100085279,0.098520678,0.096816955,0.094926585,0.092788348,0.090329617,0.087480612,0.084211222,0.080586395,0.07679013,0.073059488,0.069594719,0.066577,0.064274699,6.37E-02,0.063119006,0.063119006,0.063119005,0.063118912,0.063117534,0.063109807,0.063084789,0.063027068,0.062920263,0.062750179,0.062506513,0.062183204,0.061777954,0.061291415,0.060726324,0.060086758,0.059377548,0.058603849,0.057770847
1.26,0.108517707,0.107261879,0.105973964,0.104642425,0.103252047,0.101782621,0.100207153,0.098489562,0.09658213,0.094423922,0.091943717,0.089075207,0.085794267,0.082172251,0.07839505,0.074695662,0.071269881,0.068297425,0.066044602,6.55E-02,0.064889387,0.064889387,0.064889386,0.064889291,0.064887946,0.064880423,0.06485602,0.064799537,0.0646947,0.064527306,0.064286961,0.063967469,0.063566388,0.063084227,0.062523588,0.061888435,0.0611835,0.060413861,0.059584648
1.28,0.110238247,0.108981217,0.107690699,0.106354909,0.104958345,0.103480472,0.101893947,0.100162371,0.098237881,0.096059897,0.093558697,0.090671517,0.087380132,0.083761938,0.080004306,0.07633613,0.072948947,0.070021041,0.067816521,6.73E-02,0.066781571,0.066781571,0.06678157,0.066781478,0.066780167,0.066772818,0.066748864,0.066693159,0.066589349,0.066423044,0.066183638,0.065864751,0.065463824,0.064981313,0.064419835,0.0637834,0.063076815,0.062305238,0.061473876
1.3,0.111960486,0.110701984,0.109408594,0.108068292,0.106665296,0.105178759,0.103581006,0.101835348,0.099893822,0.097696274,0.095174572,0.092269554,0.088968799,0.085355383,0.081617775,0.077980749,0.074631768,0.071747708,0.069590358,6.90E-02,0.068497134,0.068497134,0.068497133,0.068497051,0.068495856,0.06848904,0.068466526,0.068413624,0.06831423,0.068153952,0.067921971,0.067611568,0.067219792,0.066746719,0.066194627,0.065567259,0.064869223,0.064105547,0.063281361
1.32,0.113684297,0.112424063,0.111127544,0.10978248,0.108372821,0.106877417,0.10526828,0.10350846,0.101549939,0.099333057,0.096791358,0.093869331,0.090560247,0.086952512,0.083235341,0.079629382,0.076318204,0.073477298,0.071366013,7.09E-02,0.070378542,0.070378542,0.070378541,0.070378458,0.070377276,0.070370558,0.070348335,0.070295977,0.07019733,0.070037877,0.069806649,0.069496806,0.069105328,0.068632269,0.068079923,0.067452067,0.066753351,0.065988842,0.065163705
1.34,0.115409559,0.114147343,0.112847449,0.111497387,0.110080846,0.108576386,0.106955727,0.105181683,0.103206225,0.100970255,0.098409071,0.095470858,0.092154456,0.088553255,0.084856889,0.081281897,0.078008122,0.075209687,0.073143394,7.27E-02,0.072174826,0.072174826,0.072174825,0.07217475,0.072173667,0.072167403,0.072146397,0.072096379,0.072001352,0.071846715,0.071621238,0.071317737,0.070932831,0.070466257,0.069920061,0.06929785,0.068604168,0.067844036,0.067022616
1.36,0.117136161,0.115871721,0.114568215,0.11321293,0.111789302,0.110275614,0.108643308,0.106854993,0.104862673,0.102607876,0.100027731,0.097074147,0.093751404,0.09015754,0.08648231,0.082938168,0.079701396,0.07694476,0.07492242,7.44E-02,0.073950418,0.073950418,0.073950417,0.073950346,0.073949321,0.073943364,0.073923249,0.073875036,0.073782909,0.073632271,0.073411746,0.073113923,0.072735166,0.072274969,0.071735165,0.071119182,0.070431431,0.069676836,0.068860496
1.38,0.118863997,0.117597102,0.116289758,0.114929037,0.113498129,0.111975053,0.11033099,0.108528372,0.10651928,0.104245931,0.101647355,0.098679206,0.095351069,0.091765298,0.088111498,0.084598077,0.081397906,0.078682409,0.076703007,7.63E-02,0.075829177,0.075829177,0.075829176,0.075829108,0.075828123,0.075822374,0.075802856,0.07575582,0.0756655,0.075517187,0.075299302,0.075004193,0.074628013,0.074170095,0.073632173,0.073017631,0.072330874,0.071576847,0.070760689
1.4,0.120592969,0.119323395,0.118011998,0.116645639,0.115207271,0.113674659,0.112018745,0.110201807,0.108176047,0.105884432,0.10326796,0.100286044,0.096953426,0.09337646,0.089744351,0.086261509,0.083097538,0.08042253,0.078485082,7.80E-02,0.07756849,0.07756849,0.07756849,0.07756843,0.07756754,0.077562254,0.077544046,0.07749966,0.077413637,0.077271315,0.077060926,0.076774478,0.076407719,0.075959581,0.07543144,0.074826389,0.074148616,0.073402919,0.072594349
1.42,0.122322983,0.121050517,0.119734862,0.118362673,0.116916677,0.115374396,0.113706547,0.111875285,0.109832975,0.107523393,0.104889565,0.101894668,0.098558452,0.094990959,0.091380772,0.087928353,0.084800183,0.082165025,0.080268577,7.99E-02,0.079432761,0.079432761,0.07943276,0.0794327,0.079431824,0.079426652,0.079408845,0.079365345,0.079280799,0.079140519,0.078932614,0.078648923,0.078285023,0.077839701,0.077314224,0.076711609,0.076035999,0.075292168,0.074485156
1.44,0.124053953,0.12277839,0.12145828,0.120080081,0.1186263,0.117074227,0.115394374,0.113548798,0.111490068,0.109162827,0.106512187,0.103505084,0.10016612,0.09660873,0.093020665,0.089598506,0.086505738,0.083909802,0.082053421,8.16E-02,0.08123835,0.08123835,0.081238349,0.081238295,0.081237488,0.081232663,0.081215857,0.081174413,0.081093224,0.080957624,0.080755535,0.080478485,0.080121697,0.079683615,0.079165218,0.078569305,0.077899865,0.077161582,0.076359455
1.46,0.125785798,0.124506941,0.12318219,0.121797812,0.120336099,0.118774124,0.117082208,0.11522234,0.113147332,0.11080275,0.108135844,0.105117297,0.101776405,0.098229706,0.094663939,0.091271867,0.088214104,0.085656774,0.083839556,8.34E-02,0.083019684,0.083019684,0.083019684,0.083019632,0.083018869,0.083014293,0.082998276,0.082958545,0.082880279,0.082748905,0.082552257,0.082281644,0.081932003,0.081501482,0.080990784,0.08040247,0.079740346,0.079008956,0.078213205
1.48,0.127518441,0.126236102,0.124906533,0.123515815,0.122046036,0.120474059,0.118770033,0.116895905,0.114804772,0.112443177,0.109760551,0.106731311,0.10338928,0.099853825,0.096310505,0.09294834,0.089925188,0.087405856,0.085626921,8.53E-02,0.084887054,0.084887054,0.084887053,0.084887002,0.084886262,0.084881828,0.084866289,0.084827627,0.084751193,0.084622437,0.084429081,0.084162232,0.083816596,0.083390106,0.082883286,0.082298565,0.081639664,0.080911077,0.080117693
1.5,0.129251811,0.12796581,0.126631257,0.125234048,0.123756077,0.122174009,0.120457837,0.118569493,0.116462399,0.114084123,0.111386327,0.108347128,0.105004717,0.101481024,0.097960278,0.094627832,0.091638899,0.089156971,0.087415461,8.70E-02,0.086644431,0.086644431,0.08664443,0.086644385,0.086643711,0.086639618,0.086625102,0.086588627,0.08651591,0.086392546,0.086206159,0.08594759,0.085611177,0.085194461,0.084697596,0.084122699,0.08347324,0.082753536,0.081968352
1.52,0.130985842,0.129696008,0.12835631,0.12695247,0.125466191,0.123873952,0.122145609,0.120243103,0.11812022,0.115725606,0.113013186,0.109964751,0.106622689,0.103111242,0.099613176,0.096310254,0.093355152,0.090910043,0.089205126,8.89E-02,0.088496385,0.088496385,0.088496384,0.088496338,0.088495669,0.088491653,0.088477465,0.088441816,0.088370639,0.088249625,0.088066368,0.087811576,0.087479407,0.087067202,0.086574934,0.086004561,0.085359431,0.084643769,0.083862279
1.54,0.132720471,0.131426641,0.130081648,0.128671044,0.12717635,0.125573871,0.12383334,0.121916736,0.119778246,0.117367641,0.114641143,0.111584178,0.108243168,0.104744418,0.10126912,0.097995523,0.095073866,0.092665,0.090995862,9.07E-02,0.0903078,0.0903078,0.0903078,0.090307757,0.090307133,0.090303353,0.090289898,0.090255862,0.090187485,0.090070586,0.089892695,0.089644301,0.089319258,0.088914584,0.088429945,0.087867048,0.087229041,0.086520008,0.085744566
1.56,0.13445564,0.133157659,0.131807228,0.130389737,0.12888653,0.12727375,0.125521024,0.123590394,0.121436488,0.119010245,0.116270213,0.113205411,0.109866124,0.106380494,0.102928031,0.099683556,0.096794961,0.094421775,0.092787627,9.24E-02,0.092094683,0.092094683,0.092094683,0.092094642,0.092094047,0.092090448,0.092077604,0.092044985,0.091979169,0.091866164,0.091693505,0.091451534,0.091133856,0.090737192,0.090260911,0.089706448,0.089076722,0.088375636,0.087607673
1.58,0.136191296,0.134889014,0.133533012,0.132108517,0.130596709,0.128973575,0.127208657,0.125264083,0.123094958,0.120653434,0.11790041,0.114828448,0.111491528,0.108019413,0.104589836,0.101374276,0.098518363,0.096180303,0.094580374,9.43E-02,0.093952607,0.093952607,0.093952607,0.093952566,0.093951982,0.093948468,0.093935953,0.093904163,0.093839913,0.093729344,0.093559992,0.093322084,0.093009034,0.092617348,0.092146186,0.091596796,0.09097195,0.09027544,0.089511674
1.6,0.137927387,0.136620665,0.135258963,0.133827357,0.132306866,0.130673335,0.128896234,0.126937805,0.124753667,0.122297225,0.119531746,0.116453285,0.113119352,0.109661117,0.106254463,0.103067606,0.100244001,0.097940521,0.096374061,9.60E-02,0.095723771,0.095723771,0.09572377,0.095723734,0.095723195,0.095719922,0.095708164,0.095678071,0.09561684,0.095510835,0.095347605,0.095117212,0.094812785,0.094430482,0.093969114,0.093429609,0.092814467,0.09212727,0.091372269
1.62,0.139663867,0.13835257,0.13698505,0.135546233,0.134016985,0.13237302,0.130583754,0.128611568,0.126412628,0.123941632,0.121164233,0.11807992,0.114749566,0.111305551,0.107921843,0.104763474,0.101971805,0.099702372,0.09816865,9.79E-02,0.097566812,0.097566812,0.097566811,0.097566774,0.097566237,0.097563009,0.097551486,0.097522056,0.097462174,0.097358388,0.097198314,0.09697196,0.096672316,0.09629535,0.095839665,0.095305992,0.094696657,0.094015096,0.093265447
1.64,0.141400692,0.140084693,0.138711242,0.13726512,0.135727049,0.134072622,0.132271217,0.130285379,0.128071855,0.125586673,0.122797884,0.119708348,0.11638214,0.112952663,0.109591908,0.106461811,0.10370171,0.101465799,0.099964102,9.97E-02,0.099381838,0.099381838,0.099381837,0.099381803,0.099381295,0.099378225,0.099367219,0.099338992,0.099281316,0.099180945,0.099025537,0.098804992,0.098512082,0.098142502,0.097694571,0.097168755,0.096567155,0.095893028,0.095150381
1.66,0.143137821,0.141816999,0.140437512,0.138983999,0.137437046,0.135772135,0.133958623,0.131959243,0.12973136,0.127232362,0.124432707,0.121338563,0.118017044,0.114602397,0.111264592,0.10816255,0.105433653,0.103230748,0.101760381,1.01E-01,0.101173757,0.101173757,0.101173756,0.101173723,0.101173236,0.101170296,0.101159745,0.101132627,0.101077053,0.100980024,0.100829292,0.100614701,0.100328842,0.099967161,0.099527696,0.099010635,0.098417829,0.097752324,0.097017958
1.68,0.144875216,0.143549458,0.142163834,0.140702852,0.139146964,0.137471554,0.135645974,0.133633171,0.131391157,0.128878715,0.126068714,0.122970561,0.119654248,0.116254704,0.112939834,0.109865625,0.107167572,0.104997167,0.103557455,1.03E-01,0.10302395,0.10302395,0.10302395,0.103023916,0.103023434,0.103020543,0.103010211,0.102983697,0.102929364,0.102834412,0.102686684,0.102476,0.102194838,0.101838465,0.101404717,0.100893583,0.100306732,0.099647054,0.098918267
1.7,0.146612842,0.145282039,0.143890186,0.142421661,0.140856793,0.139170875,0.137333272,0.13530717,0.133051258,0.130525746,0.127705913,0.124604334,0.121293723,0.117909533,0.114617573,0.111570976,0.108903411,0.106765008,0.105355288,1.05E-01,0.104805672,0.104805672,0.104805672,0.104805641,0.104805192,0.104802473,0.104792694,0.104767464,0.104715504,0.104624274,0.104481721,0.104277604,0.104004209,0.103656532,0.103232103,0.10273061,0.102153447,0.101503278,0.100783634
1.72,0.148350666,0.147014716,0.145616548,0.144140413,0.142566523,0.140870095,0.139020522,0.136981249,0.134711678,0.13217347,0.129344313,0.126239874,0.122935438,0.119566833,0.116297748,0.113278541,0.110641112,0.108534224,0.107153852,1.07E-01,0.106642225,0.106642225,0.106642225,0.106642193,0.106641744,0.106639055,0.10662944,0.106604715,0.106553857,0.106464549,0.106324879,0.106124631,0.105856016,0.105513885,0.105095578,0.104600579,0.104030087,0.103386586,0.10267346
1.74,0.150088658,0.148747465,0.147342899,0.145859092,0.144276147,0.142569213,0.140707726,0.138655417,0.13637243,0.133821901,0.130983921,0.127877174,0.124579364,0.121226557,0.117980304,0.114988264,0.112380622,0.110304769,0.108953117,1.09E-01,0.108459445,0.108459445,0.108459445,0.108459415,0.108458986,0.108456405,0.108447155,0.108423312,0.108374146,0.108287578,0.108151816,0.107956633,0.107694115,0.107358912,0.106948124,0.10646099,0.105898479,0.105262876,0.104557402
1.76,0.15182679,0.150480263,0.149069223,0.147577689,0.14598566,0.144268228,0.14239489,0.140329686,0.138033527,0.135471052,0.132624743,0.129516224,0.126225472,0.122888657,0.119665184,0.116700087,0.11412189,0.1120766,0.110753055,1.11E-01,0.110255776,0.110255776,0.110255776,0.110255747,0.110255334,0.110252849,0.110243939,0.110220949,0.110173457,0.110089651,0.109957891,0.109767975,0.109511892,0.109184107,0.108781483,0.108303004,0.10774939,0.107122706,0.106425982
1.78,0.153565035,0.152213088,0.150795504,0.149296193,0.147695055,0.145967139,0.144082018,0.142004064,0.139694984,0.137120936,0.134266787,0.131157015,0.12787373,0.124553089,0.121352336,0.118413958,0.115864866,0.113849677,0.11255364,1.12E-01,0.112099693,0.112099693,0.112099692,0.112099664,0.112099253,0.112096799,0.112088035,0.11206548,0.112018944,0.111936831,0.111807655,0.111621268,0.111369617,0.11104705,0.110650264,0.110178056,0.10963096,0.109010863,0.108320646
1.8,0.15530337,0.153945922,0.152521729,0.151014594,0.14940433,0.147665949,0.145769118,0.143678562,0.141356812,0.138771567,0.135910056,0.132799538,0.129524111,0.126219805,0.123041707,0.120129825,0.117609502,0.115623958,0.114354845,1.14E-01,0.113889529,0.113889529,0.113889529,0.113889502,0.113889116,0.113886788,0.113878433,0.113856846,0.113812147,0.11373301,0.113608103,0.113427302,0.113182455,0.112867719,0.11247955,0.11201648,0.111478789,0.110868134,0.110187196
1.82,0.157041772,0.155678747,0.154247884,0.152732885,0.15111348,0.149364658,0.147456195,0.145353191,0.143019026,0.140422955,0.137554556,0.134443781,0.131176584,0.127888763,0.124733247,0.121847638,0.119355752,0.117399407,0.116156647,1.16E-01,0.115721333,0.115721333,0.115721333,0.115721306,0.115720921,0.115718614,0.11571038,0.115689177,0.115645355,0.115567817,0.115445411,0.1152681,0.115027725,0.114718353,0.11433629,0.113879887,0.113349231,0.11274579,0.11207208
1.84,0.15878022,0.157411547,0.155973958,0.154451058,0.152822504,0.15106327,0.149143255,0.14702796,0.144681637,0.142075114,0.139200291,0.136089734,0.132831121,0.129559919,0.126426906,0.123567347,0.121103572,0.119175986,0.117959023,1.18E-01,0.117539841,0.117539841,0.117539841,0.117539816,0.117539445,0.117537216,0.117529243,0.117508691,0.117466156,0.117390782,0.117271576,0.117098564,0.116863545,0.116560459,0.116185432,0.115736607,0.115213857,0.114618452,0.11395273
1.86,0.160518696,0.159144307,0.157699941,0.156169109,0.1545314,0.152761785,0.150830306,0.148702882,0.14634466,0.143728053,0.140847263,0.137737385,0.134487692,0.131233231,0.128122639,0.125288907,0.122852919,0.120953661,0.119761951,1.20E-01,0.119339954,0.119339954,0.119339954,0.11933993,0.119339571,0.119337416,0.119329704,0.11930981,0.119268597,0.11919546,0.119079595,0.118911108,0.118681775,0.11838542,0.11801799,0.117577414,0.11706334,0.11647682,0.115819997
1.88,0.162257182,0.160877015,0.159425823,0.157887031,0.156240167,0.154460209,0.152517356,0.150377966,0.148008106,0.145381783,0.142495477,0.139386722,0.13614627,0.132908659,0.129820398,0.127012272,0.124603751,0.122732398,0.121565409,1.21E-01,0.1211788,0.1211788,0.1211788,0.121178775,0.121178419,0.121176285,0.121168677,0.121149103,0.121108622,0.121036842,0.120923138,0.120757722,0.12053239,0.120240914,0.119879122,0.119444788,0.118937389,0.118357801,0.117708005
1.9,0.163995661,0.162609657,0.161151596,0.159604821,0.157948804,0.156158545,0.154204411,0.152053223,0.149671989,0.147036316,0.144144932,0.141037734,0.137806825,0.134586161,0.13152014,0.128737398,0.12635603,0.124512164,0.123369377,1.23E-01,0.122974892,0.122974892,0.122974892,0.122974869,0.122974532,0.122972494,0.122965194,0.122946356,0.122907297,0.122837876,0.122727644,0.122566896,0.122347405,0.122062829,0.121708822,0.121282946,0.120784453,0.120214006,0.119573386
1.92,0.165734118,0.164342224,0.162877254,0.161322476,0.159657314,0.157856796,0.15589148,0.153728665,0.151336319,0.148691659,0.145795632,0.142690408,0.13946933,0.1362657,0.13322182,0.130464243,0.128109716,0.126292929,0.125173837,1.25E-01,0.124803206,0.124803206,0.124803205,0.124803182,0.124802846,0.124800827,0.124793622,0.124775084,0.124736723,0.124668611,0.124560492,0.124402788,0.124187316,0.123907701,0.123559496,0.12314012,0.122648653,0.122085579,0.121452508
1.94,0.167472541,0.166074704,0.16460279,0.163039992,0.161365695,0.159554968,0.15757857,0.155404302,0.153001108,0.150347823,0.147447576,0.14434473,0.141133757,0.137947237,0.134925397,0.132192766,0.129864773,0.128074661,0.126978769,1.27E-01,0.126622425,0.126622425,0.126622425,0.126622403,0.126622078,0.126620117,0.126613108,0.126595057,0.126557683,0.126491271,0.126385745,0.126231631,0.126020768,0.125746722,0.125404927,0.124992641,0.124508761,0.123953589,0.123328558
1.96,0.169210916,0.16780709,0.166328199,0.164757368,0.163073951,0.161253065,0.15926569,0.157080144,0.154666369,0.152004816,0.149100766,0.146000689,0.142800078,0.139630734,0.136630831,0.133922928,0.131621165,0.129857333,0.128784156,1.29E-01,0.128425733,0.128425733,0.128425732,0.128425711,0.128425397,0.128423496,0.128416692,0.128399157,0.128362828,0.12829822,0.128195446,0.128045151,0.127839205,0.127571121,0.127236215,0.126831578,0.126355918,0.12580934,0.125193089
1.98,0.170949232,0.169539372,0.168053475,0.166474602,0.164782081,0.162951093,0.160952848,0.158756203,0.156332113,0.153662646,0.150755201,0.147658269,0.144468266,0.141316155,0.138338081,0.13565469,0.133378858,0.131640915,0.130589982,1.30E-01,0.130260495,0.130260495,0.130260494,0.130260473,0.130260161,0.130258277,0.130251553,0.130234264,0.130198506,0.130134984,0.130033994,0.129886315,0.129683887,0.129420218,0.129090559,0.128691886,0.128222764,0.127683139,0.127074098
2,0.172687479,0.171271544,0.169778615,0.168191694,0.16649009,0.164649057,0.162640052,0.160432489,0.15799835,0.15532132,0.15241088,0.149317459,0.146138295,0.143003464,0.140047109,0.137388014,0.135137817,0.133425383,0.132396229,1.32E-01,0.132061424,0.132061424,0.132061424,0.132061404,0.132061106,0.132059298,0.132052813,0.132036094,0.132001445,0.131939792,0.131841611,0.131697794,0.131500312,0.131242627,0.130919876,0.13052888,0.130068021,0.129537055,0.128936885
