Delta_T,Vth_Up,Vth_Down,Vth_err_up,Vth_err_down
-0.114,0.3286236037035122,0.369992841297172,0.003424977627447605,0.004186999470712801
-0.105,0.4642817010061384,0.44240056050841803,0.006184475449469934,0.0038809129917851226
-0.078,0.450606664137104,0.5190050388597574,0.002948904622490195,0.003845542849437747
-0.069,0.5723262599388631,0.5266083302001499,0.0063152476533737895,0.002865177810798661
-0.06,0.5788336614448701,0.6029158077136302,0.005269918585945053,0.0041942896813016006
-0.0576,0.5783831305541565,0.5854744797012914,0.00454784296949263,0.0037834702844956407
-0.0528,0.6011188442906852,0.6836482527670777,0.002196584801048888,0.0035642951689305387
-0.048,0.6272868291852383,0.6854553664989753,0.0035784543494639166,0.0031387666990755608
-0.0432,0.63999340408125,0.7356694237768229,0.00410643268858064,0.003262880175177596
-0.0384,0.655151546235553,0.6916314133104391,0.002391415190774306,0.0017255099859970573
-0.0336,0.716405028349377,0.7636743035532141,0.0015792887452743339,0.0031138793718499184
-0.0288,0.8202772268122176,0.8127815077905032,0.0032366397978212504,0.0021113094506508834
-0.024,0.8493511656660452,0.8270199263548372,0.0007803868326148581,0.0006094220855923649
-0.021599999999999998,0.9001612237859495,0.9364417454624125,0.0014097645912245918,0.0008636528187818071
-0.0192,0.8697053058914732,0.9601753588629792,0.0021311770147161993,0.001679201218886084
-0.0168,0.9215309138676859,0.9723567705685998,0.001228602650887465,0.0007749255214793767
-0.0144,1.023360676491254,1.0245380040235603,0.0015650649415831497,0.0017015212566013533
-0.012,1.1346565919805989,1.0658470697862206,0.0011744945318263756,0.0012709099529671622
-0.0108,1.0909654493865175,1.1071739321302152,0.001856922545141837,0.000375129419262125
-0.009600000000000001,1.1600737602560853,1.1175387498200338,0.0003736209279680066,0.0003069909146947936
-0.008400000000000001,1.1846782763383459,1.1755129167783052,0.0006969510948934387,0.0013291224856679996
-0.007200000000000001,1.2377040913135893,1.2094897408228236,0.0009364997209302987,0.001921475898957011
-0.006,1.1972445744604876,1.226845037887002,0.00024311574615872115,0.00039048541416096446
-0.0051,1.2719500508441253,1.2396855079323426,0.0004657157372686682,0.00042493175369455
-0.0039,1.3061466223410474,1.2874169020263944,0.0004099588085234214,0.0017081516462075785
-0.0027,1.3309102669966522,1.3110960040991175,0.0005638918608194839,0.0004964493268121983
-0.0015,1.350539230202588,1.303313734455947,0.0005812814019153345,0.0008849581230077174
-0.0002999999999999999,1.3617779290379657,1.3497268267864562,0.0022949545369557547,0.0002899445002822317
