Delta_T,Vth_Up,Vth_Down,Vth_err_up,Vth_err_down
-0.027360000000000002,1.5225782937998347,1.5071842185706217,0.0046062600955272485,0.004621942199836978
-0.024480000000000002,1.5096591214107677,1.4823046956382937,0.003779302102001436,0.005008394290982417
-0.0216,1.3862891824637984,1.485429125976279,0.004567666121788701,0.004183420383086082
-0.01872,1.4487633704085967,1.498359994888054,0.00689599479527853,0.004759442696132991
-0.01584,1.342930267147348,1.4201354462363942,0.0015935733142922774,0.005767897665234271
-0.01296,1.2819105691808874,1.4129894075863163,0.0069938626646113946,0.005043628180946295
-0.01008,1.251087613220642,1.4739301096687685,0.004375240518011799,0.0030478252205531206
-0.0072,1.4359744481457772,1.4019698872476423,0.0016018507075338695,0.0014673933925255214
-0.004319999999999999,1.441981806084887,1.4274600923097243,0.0007240797435311364,0.0006682169586865405
-0.0014399999999999986,1.5088918442774095,1.5256057420175095,0.0017089935597538243,0.003016670237005847
0.0,1.4669647374758867,1.4997051110498278,0.0012602793177201772,0.0018749879241284277
0.0014399999999999986,1.4966335436744433,1.4856647069223121,0.0007612265368099965,0.0017495320900788203
0.0043199999999999975,1.5202906541756556,1.5203349153152894,0.0011820964733529411,0.0010332691449279397
0.0072000000000000015,1.5256764711989002,1.5291111240430701,0.0012598614672852764,0.0008844510367592336
0.010079999999999999,1.5609445638069348,1.5714448031804849,0.00031568521203458505,0.0008310215571679547
0.012959999999999996,1.608988155783359,1.6102735643930846,0.001198878383310357,0.0014695618516604428
0.01584,1.6195078801076448,1.6364345172922508,0.0007411390352128234,0.00047080434383509246
0.01872,1.7139779359377274,1.6682220888422759,0.0028484111720119333,0.0016874487629839044
0.0216,1.7050198387716295,1.712522464929521,0.0009927270477138447,0.0014231525965482346
0.024479999999999995,1.7568004518294194,1.7205455451078182,0.0022342270743688996,0.0011456806406932919
0.027360000000000002,1.8020405110817599,1.7791755033197132,0.00052731211974321,0.0015502064197551106
