n,Vth
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-2,0
-1,0.089458484
0,0.55999983
1,0.418681178
2,0.31210324
3,0.281078243
4,0.278562614
5,0.30070509
6,0.327742716
7,0.339025994
8,0.358797133
9,0.382377807
10,0.399859537
11,0.410281204
12,0.432621412
13,0.448501739
14,0.462217335
15,0.477682865
16,0.49657627
17,0.509435697
18,0.52539062
19,0.54179155
