33.0,28.0,27.0,20.0,13.0,9.0,5.0,35.0,30.0,21.0,18.0,18.0,9.0,6.0,36.0,26.0,26.0,21.0,14.0,10.0,5.0,40.0,27.0,23.0,20.0,18.0,7.0,7.0,37.0,28.0,24.0,25.0,14.0,8.0,4.0,37.0,30.0,29.0,16.0,15.0,11.0,2.0,37.0,33.0,28.0,25.0,15.0,8.0,2.0
0,1,0.1449449019732177
0,7,0.1255811258083866
1,2,0.13510345705466098
2,3,0.11889909571078623
2,9,4.302312739193594e-17
2,44,0.01785150424072798
3,4,0.027261851880755097
3,10,0.0187721044473311
4,5,0.10768709906172225
4,46,4.239222191446659e-36
5,6,0.04122639539651259
5,47,0.0
6,48,0.0
7,8,0.031357672538693065
7,14,0.0376342962988896
7,0,0.1255811258083866
8,9,0.06131255373506364
8,15,2.0692647539453153e-14
8,1,0.021094873775021193
9,10,8.474562332219184e-17
10,11,0.08899082159586809
10,3,0.0187721044473311
11,12,0.058384925448558445
11,4,8.013295227461938e-36
12,13,0.04856144661017902
12,5,0.0
13,20,0.0
13,6,0.0
14,15,0.057422999494804255
14,7,0.0376342962988896
15,16,7.323302812602663e-14
16,17,7.324339820392193e-17
16,23,0.017436241992068786
16,9,2.3823232558948765e-16
17,18,0.06271429036993269
17,24,0.014328185813838861
17,10,2.155713519991543e-20
18,19,0.13715851743453272
18,11,0.08657601052196795
19,20,0.0998430580467061
19,26,0.02554491880068184
19,12,0.0
20,13,0.0
21,22,0.09523169137412711
21,28,4.105724287431368e-12
21,14,0.025186098947907635
22,23,0.08211971278246134
22,15,0.016972321313152162
23,24,1.8815383320942706e-16
24,25,0.09971422328078097
24,17,0.014328185813838861
25,26,0.09776119215897183
25,32,0.1431843754553969
25,18,0.03674766258197651
26,27,0.0
26,33,0.0
27,34,0.0
27,20,0.0
28,29,0.042916195098106694
29,30,0.0878897932364172
29,22,0.09693088347857429
30,31,1.511054601289662e-16
30,23,0.05114427677797435
31,32,0.047750823889614075
31,38,0.04365977973190807
31,24,1.890216457572219e-20
32,33,0.06792325436202866
32,39,0.024171776992205005
33,34,0.0
34,41,0.0
35,36,0.086262170787843
35,42,4.694784416713343e-13
35,28,0.04470601101908187
36,37,0.21672857087397368
36,29,0.013369657182394057
37,38,0.05913402857354212
37,44,0.08653981087379216
37,30,0.02534954214459235
38,39,0.08178181562569171
39,40,0.13033368255856354
39,46,2.9681531959578654e-36
40,41,0.052706022307848786
40,47,0.0
40,33,0.10077549148849961
41,48,0.0
42,43,0.05260684972242763
43,44,0.0713089393166536
43,36,0.024068179519187313
44,45,0.020247876051137287
45,46,0.09417250331001623
45,38,8.965854067607799e-21
46,47,0.03816427834313935
47,48,0.04056917740001851
48,41,0.0
0,from,0.04627608561563494
7,from,0.052971854560319435
14,from,0.09615051458861723
21,from,0.09008754511207755
21,to,0.0
28,from,2.3026295740754783e-12
35,from,1.0468884883981452e-12
42,from,0.01701545743695712
6,to,0.06240880917610898
13,to,0.03319320623873311
20,to,0.1409836054436927
27,to,0.17298043543398375
34,to,0.21617317177616854
41,to,0.0
48,to,0.0
